lfcc_pre0,"(0.5653294324874878, 0.4245194863090033)"
lfcc_pre0.9,"(0.5688726902008057, 0.42470380467397084)"
lfcc_pre0.91,"(0.5676347017288208, 0.42378649932273715)"
lfcc_pre0.92,"(0.5694140791893005, 0.42325069012225025)"
lfcc_pre0.93,"(0.5703707337379456, 0.42370505632426314)"
lfcc_pre0.94,"(0.5677724480628967, 0.42461807520189293)"
lfcc_pre0.95,"(0.5641205310821533, 0.4269370574216004)"
lfcc_pre0.96,"(0.5579673051834106, 0.43226514411124256)"
lfcc_pre0.97,"(0.5625526309013367, 0.4310692179757557)"
lfcc_pre0.98,"(0.5619258880615234, 0.42761432025101587)"
lfcc_pre0.99,"(0.5639846920967102, 0.4278029250895873)"
lfcc_pre1,"(0.566695511341095, 0.4296975464225091)"
